tag,mod_count,avg_subscriptions,tag_rank_by_mod_count,wordcloud_weight
all_clients_require_mod,17952,9175.47,1,17952
character,7294,7032.73,2,7294
item,5296,11478.89,3,5296
tweak,3813,25219.39,4,3813
other,3615,18437.35,5,3615
client_only_mod,2845,29259.11,6,2845
utility,2656,43300.72,7,2656
art,2519,14690.1,8,2519
server_only_mod,1896,11314.24,9,1896
environment,1467,23346.65,10,1467
creature,1443,16395.01,11,1443
interface,1421,82539.57,12,1421
server_admin,926,16189.71,13,926
pet,657,14069.53,14,657
worldgen,609,18522.27,15,609
language,510,36417.29,16,510
scenario,463,19390.27,17,463
tutorial,318,23745.93,18,318
reign of giants compatible,203,21934.9,19,203
harmful effects,1,12895.0,20,1
helpful effects,1,12895.0,21,1
neutral effects,1,12895.0,22,1
