tag,mod_count,avg_subscriptions,tag_rank_by_mod_count,wordcloud_weight
all_clients_require_mod,18043,9147.73,1,18043
character,7326,7009.66,2,7326
item,5339,11421.15,3,5339
tweak,3839,25122.64,4,3839
other,3640,18354.21,5,3640
client_only_mod,2860,29208.33,6,2860
utility,2671,43259.91,7,2671
art,2532,14649.87,8,2532
server_only_mod,1904,11293.65,9,1904
environment,1475,23269.35,10,1475
creature,1454,16308.7,11,1454
interface,1432,82147.76,12,1432
server_admin,931,16154.79,13,931
pet,663,13973.33,14,663
worldgen,611,18504.24,15,611
language,518,35978.74,16,518
scenario,470,19132.77,17,470
tutorial,318,23842.26,18,318
reign of giants compatible,203,21939.04,19,203
harmful effects,1,12889.0,20,1
helpful effects,1,12889.0,21,1
neutral effects,1,12889.0,22,1
