mod_id,title,creator_id,subscriptions,votes_up,votes_down,score,positive_rate,time_created_utc,time_updated_utc,maintenance_days,days_since_last_update,subscription_median,maintenance_median,quadrant,quadrant_label
376333686,Combined Status,76561198025931302,9686972,84856,752,0.9906426668,0.9912,2015-01-17T06:30:56,2026-04-18T17:58:59,4109,40,219.0,1.0,evergreen,Evergreen
378160973,Global Positions,76561198025931302,8011811,51166,752,0.9845822453,0.9855,2015-01-19T22:59:46,2026-04-19T18:45:58,4108,39,219.0,1.0,evergreen,Evergreen
345692228,Minimap HUD,76561197960431333,7899949,53248,665,0.986762464,0.9877,2014-11-23T08:38:18,2022-07-12T23:06:48,2788,1416,219.0,1.0,evergreen,Evergreen
351325790,Geometric Placement,76561198025931302,7042947,47524,597,0.9865826368,0.9876,2014-12-05T07:22:01,2023-08-02T05:36:22,3162,1030,219.0,1.0,evergreen,Evergreen
727774324,"Craft Pot [DS, ROG, SW, DST]",76561197981642997,4971909,28937,402,0.9846462011,0.9863,2016-07-19T21:24:11,2023-08-27T17:40:31,2595,1005,219.0,1.0,evergreen,Evergreen
1207269058,Simple Health Bar DST,76561198098319132,4777909,33120,539,0.9825528264,0.984,2017-11-21T15:13:28,2022-09-17T14:25:52,1761,1349,219.0,1.0,evergreen,Evergreen
375859599,Health Info,76561198025486794,4597726,28981,522,0.9806776047,0.9823,2015-01-16T13:38:46,2025-03-21T00:06:13,3717,433,219.0,1.0,evergreen,Evergreen
375850593,Extra Equip Slots,76561198025486794,3766269,22552,703,0.9677585363,0.9698,2015-01-16T13:17:28,2016-04-20T19:39:29,460,3690,219.0,1.0,evergreen,Evergreen
347079953,Display Food Values,76561198049829886,3457513,19560,523,0.9716097713,0.974,2014-11-26T16:05:52,2016-03-26T09:07:05,486,3715,219.0,1.0,evergreen,Evergreen
362175979,Wormhole Marks [DST],76561198027077262,3345893,18593,389,0.9769940376,0.9795,2014-12-25T14:52:59,2016-02-01T11:55:10,403,3769,219.0,1.0,evergreen,Evergreen
1185229307,Epic Healthbar,76561198269382494,3248819,20853,317,0.9827456474,0.985,2017-10-29T21:17:34,2025-07-29T12:56:40,2830,303,219.0,1.0,evergreen,Evergreen
666155465,Show Me (Origin),76561198023676128,3029477,22876,435,0.9792832136,0.9813,2016-04-15T20:31:10,2022-01-08T03:05:20,2094,1601,219.0,1.0,evergreen,Evergreen
374550642,Increased Stack size,76561197982211173,2683778,13606,417,0.9669333696,0.9703,2015-01-13T16:24:57,2026-03-03T13:50:20,4067,86,219.0,1.0,evergreen,Evergreen
