mod_id,title,creator_id,subscriptions,votes_up,votes_down,score,positive_rate,time_created_utc,time_updated_utc,maintenance_days,days_since_last_update,subscription_median,maintenance_median,quadrant,quadrant_label
376333686,Combined Status,76561198025931302,9509495,83671,739,0.9906638265,0.9912,2015-01-17T06:30:56,2024-03-19T01:42:06,3349,730,232.0,1.0,evergreen,Evergreen
378160973,Global Positions,76561198025931302,7872447,50462,730,0.9847929478,0.9857,2015-01-19T22:59:46,2024-04-11T01:03:43,3370,707,232.0,1.0,evergreen,Evergreen
345692228,Minimap HUD,76561197960431333,7766346,52655,647,0.9869480729,0.9879,2014-11-23T08:38:18,2022-07-12T23:06:48,2788,1346,232.0,1.0,evergreen,Evergreen
351325790,Geometric Placement,76561198025931302,6894360,46838,576,0.9868249297,0.9879,2014-12-05T07:22:01,2023-08-02T05:36:22,3162,960,232.0,1.0,evergreen,Evergreen
727774324,"Craft Pot [DS, ROG, SW, DST]",76561197981642997,4840025,28421,387,0.98488307,0.9866,2016-07-19T21:24:11,2023-08-27T17:40:31,2595,935,232.0,1.0,evergreen,Evergreen
1207269058,Simple Health Bar DST,76561198098319132,4644442,32476,520,0.9827773571,0.9842,2017-11-21T15:13:28,2022-09-17T14:25:52,1761,1279,232.0,1.0,evergreen,Evergreen
375859599,Health Info,76561198025486794,4561862,28766,506,0.9810703993,0.9827,2015-01-16T13:38:46,2025-03-21T00:06:13,3717,363,232.0,1.0,evergreen,Evergreen
375850593,Extra Equip Slots,76561198025486794,3719681,22349,686,0.9681867361,0.9702,2015-01-16T13:17:28,2016-04-20T19:39:29,460,3620,232.0,1.0,evergreen,Evergreen
347079953,Display Food Values,76561198049829886,3438942,19432,512,0.9719616771,0.9743,2014-11-26T16:05:52,2016-03-26T09:07:05,486,3645,232.0,1.0,evergreen,Evergreen
362175979,Wormhole Marks [DST],76561198027077262,3287218,18329,380,0.9771385789,0.9797,2014-12-25T14:52:59,2016-02-01T11:55:10,403,3699,232.0,1.0,evergreen,Evergreen
1185229307,Epic Healthbar,76561198269382494,3133631,20244,307,0.9827126861,0.9851,2017-10-29T21:17:34,2025-07-29T12:56:40,2830,233,232.0,1.0,evergreen,Evergreen
666155465,Show Me (Origin),76561198023676128,2995174,22615,428,0.9793457985,0.9814,2016-04-15T20:31:10,2022-01-08T03:05:20,2094,1531,232.0,1.0,evergreen,Evergreen
367546858,Chinese Language Pack,76561198129477988,2665055,21605,436,0.9780497551,0.9802,2015-01-02T08:23:31,2025-12-28T05:48:47,4013,81,232.0,1.0,evergreen,Evergreen
374550642,Increased Stack size,76561197982211173,2643130,13461,409,0.9671438932,0.9705,2015-01-13T16:24:57,2026-03-03T13:50:20,4067,16,232.0,1.0,evergreen,Evergreen
661253977,Don't Drop Everything,76561198247062468,2518657,84060,426,0.9943726063,0.995,2016-04-08T04:31:45,2020-08-10T03:15:17,1585,2047,232.0,1.0,evergreen,Evergreen
2287303119,Show Me(中文),76561199020997345,2333643,10561,159,0.9806839228,0.9852,2020-11-14T20:37:48,2025-03-04T11:03:21,1571,380,232.0,1.0,evergreen,Evergreen
352373173,Gesture Wheel,76561198025931302,2323793,21931,235,0.9872002006,0.9894,2014-12-07T00:32:04,2022-03-26T23:54:03,2666,1454,232.0,1.0,evergreen,Evergreen
501385076,Quick Pick,76561198204009267,2313924,11137,298,0.9698309302,0.9739,2015-08-17T10:16:47,2020-10-14T04:47:52,1885,1982,232.0,1.0,evergreen,Evergreen
1240565842,Russification Pack for DST,76561198137380697,2181042,22059,813,0.9624325037,0.9645,2017-12-23T11:39:49,2026-01-13T03:25:13,2943,65,232.0,1.0,evergreen,Evergreen
365119238,Smarter Crock Pot,76561198025317013,2080822,13019,370,0.9688635468,0.9724,2014-12-29T19:28:34,2015-09-03T16:45:39,248,3850,232.0,1.0,evergreen,Evergreen
2078243581,Display Attack Range,76561198119787855,2014178,10888,199,0.9777420163,0.9821,2020-04-29T15:37:36,2020-05-03T15:28:11,4,2146,232.0,1.0,evergreen,Evergreen
1120124958,Boss Indicators,76561198074442304,1940090,11184,192,0.9789125323,0.9831,2017-08-25T23:20:19,2017-09-02T06:57:23,8,3120,232.0,1.0,evergreen,Evergreen
836583293,Item Info,76561198074442304,1913049,13689,291,0.9757812619,0.9792,2017-01-07T03:30:02,2020-08-20T03:15:19,1321,2037,232.0,1.0,evergreen,Evergreen
1608191708,ActionQueue Reborn,76561198032277590,1797353,12577,225,0.9786854982,0.9824,2018-12-30T15:53:34,2020-02-03T02:46:13,400,2236,232.0,1.0,evergreen,Evergreen
458587300,Fast Travel,76561198066992329,1532472,7969,250,0.9639379978,0.9696,2015-06-10T12:00:29,2016-04-13T12:08:26,308,3627,232.0,1.0,evergreen,Evergreen
569043634,Campfire Respawn,76561198000918841,1525105,9784,217,0.9735669494,0.9783,2015-12-05T10:40:38,2024-11-15T12:20:41,3268,489,232.0,1.0,evergreen,Evergreen
466732225,No Thermal Stone Durability,76561198038824153,1495594,9766,223,0.9729408026,0.9777,2015-06-22T14:24:19,2017-03-01T21:23:07,618,3305,232.0,1.0,evergreen,Evergreen
1595631294,Smart Minisign,76561198076228231,1471375,7805,171,0.9726349711,0.9786,2018-12-20T01:57:35,2026-01-27T17:54:54,2595,51,232.0,1.0,evergreen,Evergreen
786556008,45 Inventory Slots,76561198039805936,1452346,7897,411,0.945171237,0.9505,2016-10-24T16:19:08,2016-11-12T08:39:05,19,3414,232.0,1.0,evergreen,Evergreen
1271089343,Your Skeleton Respawn,76561198041015229,1332493,11839,241,0.9761083722,0.98,2018-01-16T03:37:32,2025-11-01T21:50:27,2846,138,232.0,1.0,evergreen,Evergreen
1365141672,[TMIP]Too Many Items Plus,76561198311311669,1301208,639450,181,0.9762614369,0.9812,2018-04-19T14:32:43,2022-07-29T14:37:31,1562,1329,232.0,1.0,evergreen,Evergreen
1378549454,[API] Gem Core,76561198073898182,1229212,6061,277,0.9492078424,0.9563,2018-05-05T15:18:59,2025-09-24T17:15:58,2699,176,232.0,1.0,evergreen,Evergreen
623749604,[DST] Storeroom,76561198174493482,1197606,8865,219,0.9707099199,0.9759,2016-02-14T02:54:51,2021-12-07T09:35:28,2123,1563,232.0,1.0,evergreen,Evergreen
2189004162,Insight (Show Me+),76561198277438128,1174566,7709,136,0.9765890241,0.9827,2020-08-06T09:46:37,2025-10-08T03:42:22,1889,162,232.0,1.0,evergreen,Evergreen
1699194522,Myth Characters-神话人物,76561198850858081,1159964,15212,962,0.9378148913,0.9405,2019-03-31T04:26:20,2025-04-05T11:52:02,2197,348,232.0,1.0,evergreen,Evergreen
1079538195,Moving Box,76561197972487188,1154662,10139,180,0.977924943,0.9826,2017-07-18T08:18:55,2017-07-21T04:47:32,3,3163,232.0,1.0,evergreen,Evergreen
2302837868,Snapping tills,76561198234454040,1140268,7000,88,0.9808013439,0.9876,2020-11-29T12:33:58,2024-01-18T09:29:39,1145,791,232.0,1.0,evergreen,Evergreen
1991746508,Myth Words Theme-神话书说,76561198850858081,1097126,11972,810,0.9332401752,0.9366,2020-02-08T10:10:53,2025-10-16T05:57:30,2077,154,232.0,1.0,evergreen,Evergreen
356930882,Infinite Tent Uses,76561197995674894,1008345,6105,138,0.9703610539,0.9779,2014-12-16T05:14:16,2020-06-30T18:46:39,2023,2088,232.0,1.0,evergreen,Evergreen
1530801499,Fast Travel (GUI),76561198326489103,956244,4857,104,0.9695712328,0.979,2018-10-05T12:21:59,2025-04-27T13:01:49,2396,326,232.0,1.0,evergreen,Evergreen
572538624,Chinese Plus,76561198111246140,936645,5851,209,0.9579545259,0.9655,2015-12-10T06:53:59,2017-01-26T06:01:58,413,3339,232.0,1.0,evergreen,Evergreen
462434129,Restart,76561198111246140,929576,5128,179,0.9576475024,0.9663,2015-06-16T13:01:18,2017-02-15T12:56:20,610,3319,232.0,1.0,evergreen,Evergreen
1898292532,[Tips]Show attack time for hounds and bosses,76561198423073837,846153,3173,100,0.955529213,0.9694,2019-10-25T15:58:11,2025-06-14T06:03:35,2059,278,232.0,1.0,evergreen,Evergreen
358749986,Extended Indicators WIP,76561198046734376,839901,5206,159,0.9617566466,0.9704,2014-12-20T03:16:58,2014-12-22T04:37:23,2,4105,232.0,1.0,evergreen,Evergreen
780009141,Finder,76561198333772442,828709,5847,299,0.9441242218,0.9514,2016-10-13T11:35:17,2016-10-13T11:35:17,0,3444,232.0,1.0,hit_then_abandoned,Hit Then Abandoned
2438350724,🌍组合状态[最新/中文]-Combined Status,76561198405448255,817192,3586,59,0.9708945155,0.9838,2021-03-28T06:51:23,2024-05-11T12:22:55,1140,677,232.0,1.0,evergreen,Evergreen
382177939,DST Storm Cellar,76561197989646930,800941,4876,161,0.958925426,0.968,2015-01-27T08:05:55,2019-09-10T00:39:02,1687,2382,232.0,1.0,evergreen,Evergreen
2119742489,木牌传送 (GUI),76561198416857662,797161,2830,79,0.9571285844,0.9728,2020-06-05T07:47:14,2025-05-02T10:32:52,1792,321,232.0,1.0,evergreen,Evergreen
462372013,Always fresh,76561198078635366,791107,3209,119,0.9507001042,0.9642,2015-06-16T10:30:07,2016-11-21T17:47:49,524,3405,232.0,1.0,evergreen,Evergreen
